ASN.,Netname,ASN單位,核發日期
AS131617,CENTROID-NET,欣馳聯網股份有限公司,2018-05-07
AS131618,CARL-NET,卡爾國際資訊有限公司,2018-05-07
AS131619,JIGENTEC-NET,次元科技股份有限公司,2018-06-04
AS131620,SERVCOMP-NET,網際威龍科技有限公司,2018-06-06
AS131621,TWNIC-NET,台灣網路資訊中心,2018-06-12
AS131622,BEARSPACE-NET,才高八斗科技股份有限公司,2018-06-12
AS131623,SPETW-NET,樂購蝦皮股份有限公司,2018-06-26
AS131624,NEWAY-NET,晟崴科技股份有限公司,2018-07-06
AS131625,YUFENG-NET,育酆科技有限公司,2018-07-16
AS131626,NSS-NET,戰國策網路科技股份有限公司,2018-07-24
AS131627,PEICITY-NET,北都數位有線電視股份有限公司,2018-08-01
AS131628,TAIFUCLOUD-NET,台富雲科技股份有限公司,2018-08-07
AS131629,CKMATES-NET,銓鍇國際股份有限公司,2018-08-21
AS131630,GARENATW-NET,台灣競舞娛樂有限公司,2018-08-27
AS23675,TSMC-NET,台灣積體電路製造股份有限公司,2018-10-05
AS131631,SCNET-NET,上奇網訊有限公司,2018-10-08
AS9922,NKBNET-NET,高雄大大新寬頻股份有限公司,2018-10-09
AS131632,LETSWIN-NET,利穎電信股份有限公司,2018-11-19
AS131633,SAKURAHOST-NET,櫻花國際資訊有限公司,2018-12-13
AS131634,MOBATW-NET,新加坡商競舞有限公司台灣分公司,2019-01-02
AS131635,AIRPAYTW-NET,愛貝有限公司,2019-01-02
AS131636,WANIN-NET,網銀國際股份有限公司,2019-02-01
AS131637,FASTCLOUD-NET,迅雲科技有限公司,2019-02-12
AS131638,XINYUN-NET,鑫雲數據交換有限公司,2019-02-14
AS131639,TIH-NET,台灣智慧家庭股份有限公司,2019-02-14
AS131640,SHUNYING-NET,順營資訊有限公司,2019-03-04
AS131641,DWT-NET,大王電信股份有限公司,2019-03-14
AS131642,PQS-NET,彼得巧科技企業社,2019-03-26
AS131643,CHIRUE-NET,齊瑞科技有限公司,2019-05-10
AS131644,ZENDONINFO-NET,震東資訊,2019-05-14
AS131645,KKCO-NET,可立可股份有限公司,2019-05-23
AS131646,PCALT-NET,保誠人壽保險股份有限公司,2019-05-27
AS131647,TAIWANMOBILE-NET,台灣大哥大股份有限公司,2019-06-13
AS131648,TAIWANMOBILE-NET,台灣大哥大股份有限公司,2019-06-13
AS131649,TAIWANMOBILE-NET,台灣大哥大股份有限公司,2019-06-13
AS131650,TAIWANMOBILE-NET,台灣大哥大股份有限公司,2019-06-13
AS131651,LOONGAMING-NET,化骨龍數位科技有限公司,2019-06-19
AS131652,KKIS-NET,可立可資安股份有限公司,2019-07-03
AS131653,CHENSHENG-NET,辰昇網路科技有限公司,2019-07-08
AS131654,NTCL-NET,北台數網電訊股份有限公司,2019-07-12
AS131655,FPG-NET,南亞塑膠工業股份有限公司,2019-07-23
AS131656,FPG-NET,南亞塑膠工業股份有限公司,2019-07-23
AS131657,HHRCOLTD-NET,黃禾實業有限公司,2019-08-13
AS17809,VEETIME-NET,大台中數位有線電視股份有限公司,2019-08-16
AS131658,GAMESOUL-NET,耕碩科技股份有限公司,2019-08-16
AS131659,NETEASE-NET,網易多媒體科技有限公司,2019-08-29
AS131660,HINET-NET,中華電信股份有限公司,2019-08-30
AS131661,X2I-NET,中華電信股份有限公司,2019-08-30
AS10133,CHIEF-TW-NET,是方電訊股份有限公司,2019-09-26
